figure_id,stem,role,evidence_level,submission_disposition,evidence_value,reviewer_risk,claim_boundary,exports_complete,all_sources_available,pdf
Fig. S13,paper2_figS13_cropped_flow_domains,cropped pore-domain inputs for future pressure-flow solvers,solver_input_preparation,supplement_keep_with_boundary,bounded_pressure_proxy,Keep only as proxy or solver-input support; never describe as CFD/LBM or pressure calibration.,"Defines cropped pore-domain inputs only; not CFD, not LBM and not a measured or calibrated pressure result.",True,True,papers/paper2_voxel_topology_clogging/figures/paper2_figS13_cropped_flow_domains.pdf
Fig. S14,paper2_figS14_cropped_flow_permeability,local voxel-network conductance response in cropped peak-blockage domains,local_pressure_informed_structural_pilot,supplement_keep_with_boundary,bounded_pressure_proxy,Keep only as proxy or solver-input support; never describe as CFD/LBM or pressure calibration.,"Solves a scalar Darcy-Laplace network problem on cropped pore voxels; not CFD, not LBM and not a calibrated pressure-drop measurement.",True,True,papers/paper2_voxel_topology_clogging/figures/paper2_figS14_cropped_flow_permeability.pdf
Fig. S15,paper2_figS15_cropped_flow_permeability_sensitivity,conductance-exponent sensitivity for cropped peak-blockage domains,local_pressure_proxy_robustness_check,supplement_keep_with_boundary,bounded_pressure_proxy,Keep only as proxy or solver-input support; never describe as CFD/LBM or pressure calibration.,"Tests sensitivity of a scalar voxel-network proxy to conductance exponent; not CFD, not LBM and not a calibrated pressure-drop measurement.",True,True,papers/paper2_voxel_topology_clogging/figures/paper2_figS15_cropped_flow_permeability_sensitivity.pdf
Fig. S16,paper2_figS16_dimensionless_mechanism_map,"dimensionless mechanism map separating transport penetration, local blockage and topology loss",derived_dimensionless_mechanism_synthesis,supplement_keep,mechanism_synthesis,Synthesis figure; ensure it is clearly marked as derived evidence rather than new data.,"Derived synthesis of existing evidence; not a full parameter sweep, not a universal regime diagram and not pressure-calibrated.",True,True,papers/paper2_voxel_topology_clogging/figures/paper2_figS16_dimensionless_mechanism_map.pdf
Fig. S17,paper2_figS17_near_threshold_repeat_seed_status,near-threshold repeat-seed stochastic variability,bounded_repeat_seed_uncertainty,supplement_keep,supporting_evidence,No special risk beyond ordinary source-data traceability.,Bounds stochastic variability for the near-threshold DEM setting; not a critical-transition law.,True,True,papers/paper2_voxel_topology_clogging/figures/paper2_figS17_near_threshold_repeat_seed_status.pdf
Fig. S18,paper2_figS18_subvoxel_hydraulic_evidence,sub-voxel blockage hydraulic-response scale check,bounded_subvoxel_hydraulic_scale_check,supplement_keep_with_boundary,bounded_proxy,Boundary wording is essential.,"Scale-check evidence for sub-voxel hydraulic response only; not CFD, not measured pressure and not pressure-calibrated clogging.",True,True,papers/paper2_voxel_topology_clogging/figures/paper2_figS18_subvoxel_hydraulic_evidence.pdf
Fig. S19,paper2_figS19_localized_mechanism_axes,"localized-release source retention, downstream release and sparse-front decoupling",bounded_three_case_mechanism_comparison,supplement_keep_with_boundary,localized_release_support,"Useful support for retention-dominated internal release, but not a complete source-location law.","Supports retained-bulk and sparse-front decoupling; not a source-position scaling law, completed BTC, outlet breakthrough or critical clogging.",True,True,papers/paper2_voxel_topology_clogging/figures/paper2_figS19_localized_mechanism_axes.pdf
Fig. S20,paper2_figS20_mechanistic_decoupling_matrix,"mechanistic decoupling matrix linking source release, sparse-front advance, local blockage and connectivity loss",derived_mechanistic_decoupling_synthesis,supplement_keep,supporting_evidence,No special risk beyond ordinary source-data traceability.,"Derived synthesis of existing localized-release and loading evidence; not a fitted law, completed BTC, pressure-calibrated criterion or critical-transition map.",True,True,papers/paper2_voxel_topology_clogging/figures/paper2_figS20_mechanistic_decoupling_matrix.pdf
Fig. S21,paper2_figS21_observable_response_map,"cross-observable response map separating transport, deposition, pressure-proxy and topology observables",derived_cross_observable_mechanism_synthesis,supplement_keep_with_boundary,bounded_proxy,Boundary wording is essential.,"Derived synthesis of existing DEM and voxel observables; not a fitted response law, not outlet breakthrough, not CFD validation and not a pressure-calibrated critical-clogging criterion.",True,True,papers/paper2_voxel_topology_clogging/figures/paper2_figS21_observable_response_map.pdf
Fig. S22,paper2_figS22_3d_resistance_amplification_sensitivity,3D hydraulic-resistance amplification sensitivity in cropped peak-blockage domains,reduced_3d_resistance_sensitivity,supplement_keep_with_boundary,bounded_pressure_proxy,Keep only as proxy or solver-input support; never describe as CFD/LBM or pressure calibration.,"Reduced scalar voxel-network sensitivity to debris-induced 3D resistance amplification; not OpenFOAM CFD, not LBM and not pressure-calibrated.",True,True,papers/paper2_voxel_topology_clogging/figures/paper2_figS22_3d_resistance_amplification_sensitivity.pdf
Fig. S23,paper2_figS23_openfoam_pressure_evidence,returned cropped-domain OpenFOAM pressure evidence for peak-blockage handoff cases,bounded_cropped_domain_openfoam_pressure_check,supplement_keep_with_boundary,bounded_pressure_proxy,Keep only as proxy or solver-input support; never describe as CFD/LBM or pressure calibration.,"Returned cropped-domain numerical pressure evidence only; not experimental pressure validation, not full-device CFD and not pressure-calibrated Ib.",True,True,papers/paper2_voxel_topology_clogging/figures/paper2_figS23_openfoam_pressure_evidence.pdf
Fig. S24,paper2_figS24_openfoam_model_mesh,ParaView-rendered OpenFOAM cropped-domain model and mesh slice,visualization_of_returned_openfoam_case,supplement_keep_with_boundary,bounded_pressure_proxy,Keep only as proxy or solver-input support; never describe as CFD/LBM or pressure calibration.,"Visualization of one representative returned cropped-domain OpenFOAM case and its mesh only; not new pressure evidence, not experimental validation and not blanket-scale CFD.",True,True,papers/paper2_voxel_topology_clogging/figures/paper2_figS24_openfoam_model_mesh.pdf
Fig. S25,paper2_figS25_parameter_evidence_coverage,parameter-evidence coverage map for bounded mechanism support,derived_parameter_coverage_audit,supplement_keep,mechanism_synthesis,Synthesis figure; ensure it is clearly marked as derived evidence rather than new data.,"Discrete coverage audit of current mechanism evidence; not a full factorial parameter sweep, not an interpolated phase map and not a universal critical-clogging diagram.",True,True,papers/paper2_voxel_topology_clogging/figures/paper2_figS25_parameter_evidence_coverage.pdf
Fig. S26,paper2_figS26_openfoam_case_matrix,ParaView-rendered OpenFOAM cropped-domain and mesh comparison across returned pressure cases,visualization_of_returned_openfoam_case_set,supplement_keep_with_boundary,bounded_pressure_proxy,Keep only as proxy or solver-input support; never describe as CFD/LBM or pressure calibration.,"Visual comparison of the three returned cropped-domain OpenFOAM cases and their mesh slices only; not new pressure evidence, not experimental validation and not blanket-scale CFD.",True,True,papers/paper2_voxel_topology_clogging/figures/paper2_figS26_openfoam_case_matrix.pdf
Fig. S27,paper2_figS27_deep_mechanism_mining,"cross-observable data-mining synthesis of drive, localized release, loading and topology-response separation",derived_cross_observable_data_mining,supplement_keep_with_boundary,mechanism_data_mining,Derived cross-observable data-mining figure; keep boundary wording that it is not a fitted transition law or pressure-calibrated safety map.,"Exploratory derived synthesis from existing source tables; not a fitted universal transition law, not a phase map and not pressure-calibrated safety evidence.",True,True,papers/paper2_voxel_topology_clogging/figures/paper2_figS27_deep_mechanism_mining.pdf
Fig. S28,paper2_figS28_tail_lag_mechanism_mining,"time-resolved tail-lag data mining linking leading-tail breakthrough, retained bulk and rare sparse-front survival",derived_tail_lag_data_mining,supplement_keep_with_boundary,sparse_tail_lag_mechanism,"Derived tail-lag figure; keep boundary wording that it is not a fitted tailing law, residence-time distribution or critical-clogging transition.","Exploratory tail-lag synthesis from existing time-resolved source tables; not an experimentally calibrated residence-time distribution, not a universal tailing law and not a critical-clogging transition.",True,True,papers/paper2_voxel_topology_clogging/figures/paper2_figS28_tail_lag_mechanism_mining.pdf
Fig. S29,paper2_figS29_deposition_heterogeneity_mining,"spatial heterogeneity data mining of axial deposition profiles, localization relaxation and downstream spreading",derived_deposition_heterogeneity_data_mining,supplement_keep_with_boundary,deposition_heterogeneity_mechanism,"Derived deposition-heterogeneity figure; keep boundary wording that it describes axial numerical profiles, not pore-scale bridge statistics or a universal clogging law.","Derived spatial-heterogeneity synthesis from existing axial blockage profiles; not pore-scale bridge statistics, not experimental imaging and not a universal clogging law.",True,True,papers/paper2_voxel_topology_clogging/figures/paper2_figS29_deposition_heterogeneity_mining.pdf
